model,accuracy,precision,recall,f1,roc_auc,log_loss,train_seconds
random_forest,0.67706875174979,0.6853724462494684,0.8421052631578947,0.7556977632544383,0.7297980927764276,0.5956051666176783,10.52
hist_gradient_boosting,0.6756189257289126,0.6899363957597173,0.8229036717353923,0.7505766214595443,0.7279598076511538,0.5944457435034844,10.98
gradient_boosting,0.6716693996720393,0.6783784876123243,0.8488822954246603,0.7541128458572017,0.7219121820321135,0.6001700825132266,230.46
logistic_regression,0.659150901891773,0.7195085875371953,0.6970565427020466,0.7081046367256069,0.7060202623214098,0.6213038435772884,2.86
dummy_majority,0.593108826940767,0.593108826940767,1.0,0.7445929831168016,0.5,14.665844408838273,0.82
